Rank,Previous Rank,Artist Name,Periods on Chart,Views,Growth
1,1,Alka Yagnik,398,387649703,0.02%
2,3,Udit Narayan,419,281518615,0%
3,4,Arijit Singh,428,266529020,0.02%
4,5,Kumar Sanu,394,217867322,0.01%
5,6,Shilpi Raj,174,179983121,-0.06%
6,2,Taylor Swift,428,173388197,-0.42%
7,7,Shreya Ghoshal,400,161737325,0.01%
8,9,Bad Bunny,393,148102337,0.04%
9,8,Khesari Lal Yadav,313,140947781,-0.1%
10,11,Lata Mangeshkar,411,130022132,0.03%
11,10,Peso Pluma,75,129955603,-0.02%
12,12,The Weeknd,414,118502082,-0.02%
13,13,KAROL G,346,114162388,-0.02%
14,14,Anuel AA,311,111179063,-0.02%
15,17,Fuerza Regida,112,101618967,0.03%
16,15,Sonu Nigam,384,101369291,-0.04%
17,16,Pawan Singh,331,97641018,-0.04%
18,22,Junior H,167,86790163,0.07%
19,18,Shakira,428,85188953,-0.01%
20,23,Natanael Cano,136,84744516,0.1%
21,19,Eminem,428,84541546,-0.02%
22,20,Feid,140,84032367,-0.01%
23,21,Ariana Grande,428,79358484,-0.04%
24,27,Carin Leon,169,78491898,0.04%
25,25,Rauw Alejandro,244,77448870,0.01%
26,29,Myke Towers,261,74016156,0.07%
27,28,Ozuna,399,72089253,-0.01%
28,26,Pritam,158,71697840,-0.05%
29,24,A. R. Rahman,176,71407949,-0.07%
30,n/a,NewJeans,92,70892515,n/a
31,30,Cris Mj,110,70829160,0.05%
32,32,Grupo Frontera,84,68206736,0.01%
33,36,Maluma,428,64923399,0.01%
34,34,BTS,428,64764927,-0.02%
35,37,Grupo Firme,191,63610066,0%
36,35,Daddy Yankee,428,63413372,-0.01%
37,38,J Balvin,428,63243454,0.01%
38,39,Rihanna,428,62364285,0.01%
39,33,Future,352,62099354,-0.06%
40,31,Neelkamal Singh,8,62020012,-0.08%
41,42,Anuradha Paudwal,354,61421030,0.02%
42,40,Justin Bieber,428,60976348,-0.01%
43,45,MC Ryan SP,131,60951313,0.03%
44,43,Maria Becerra,169,60125450,0%
45,41,Chris Brown,410,57846730,-0.05%
46,46,Ed Sheeran,428,57759683,-0.02%
47,50,SP Balasubrahmanyam,225,57144169,0.02%
48,44,BLACKPINK,350,56868287,-0.05%
49,51,Neha Kakkar,395,56785038,0.02%
50,60,Sunidhi Chauhan,341,56427903,0.08%
51,52,Anirudh Ravichander,178,55923267,0.02%
52,54,Jubin Nautiyal,260,55711034,0.03%
53,58,Kishore Kumar,281,55308237,0.06%
54,62,Drake,405,55221112,0.07%
55,55,Lady Gaga,311,54222023,0.01%
56,57,Romeo Santos,428,54104028,0.03%
57,49,Metro Boomin,75,53787121,-0.07%
58,53,Farruko,359,53514751,-0.01%
59,48,Sidhu Moose Wala,184,53198025,-0.09%
60,47,Khushi Kakkar,12,52255909,-0.11%
61,56,Travis Scott,273,52098900,-0.02%
62,70,Kavita Krishnamurthy,273,51476279,0.05%
63,67,Shivani Singh,61,51388321,0.03%
64,72,Luis R Conriquez,138,50888108,0.07%
65,64,Sameer Anjaan,16,50523926,-0.01%
66,61,B Praak,237,49153815,-0.05%
67,65,Doja Cat,209,49034080,-0.03%
68,79,Henrique & Juliano,353,48912061,0.06%
69,59,Dua Lipa,352,48840519,-0.06%
70,69,Lana Del Rey,179,48770650,-0.01%
71,78,David Guetta,415,48683944,0.04%
72,68,Diljit Dosanjh,191,48211531,-0.02%
73,74,Billie Eilish,302,48040663,0.01%
74,76,Los Temerarios,253,47815544,0.02%
75,63,Himesh Reshammiya,251,47590563,-0.07%
76,73,Bruno Mars,428,47529747,0%
77,n/a,SEVENTEEN,114,47423206,n/a
78,66,Xavi,26,47052811,-0.06%
79,77,Imagine Dragons,402,46992690,0.01%
80,86,Badshah,357,46413690,0.06%
81,n/a,Anitta,318,46378156,n/a
82,84,Maroon 5,426,45767004,0.02%
83,97,Ashish Yadav,12,45628131,0.09%
84,82,Linkin Park,426,45448985,0%
85,90,Vicente Fernández,296,45188278,0.05%
86,83,Coldplay,428,45151927,0%
87,91,Asha Bhosle,229,45041121,0.05%
88,87,Atif Aslam,325,45032660,0.04%
89,75,Arcángel,245,45021111,-0.04%
90,92,Sadhana Sargam,211,44488348,0.05%
91,81,Vishal Mishra,64,44455017,-0.03%
92,80,Beyoncé,427,44214912,-0.04%
93,95,Alan Walker,398,44102334,0.05%
94,n/a,Kendrick Lamar,218,43279569,n/a
95,94,Aventura,297,42816860,0.02%
96,96,Óscar Maydon,30,42605349,0.01%
97,89,Sech,266,42495133,-0.02%
98,85,Sia,413,42491888,-0.03%
99,93,Don Omar,297,42446430,0.01%
100,n/a,Post Malone,372,42185196,n/a
